551146;4. SEPTEMBAR
551273;8. novembar
551546;ALFA LIGHT
551115;FLUO ELEKTRO
551596;ALTA BOJE DOO
551640;ALTEGO
551237;ALTI
551116;ANIRO D.O.O. - PREDUZECE ZA TRGOVIN
551642;ART DECO
551665;LUCA LUX BEOGRAD
551226;ATTRIUM
551292;AURA LIGHT DOO
551462;FEMAN DOO JAGODINA
551119;BEC ELEKTRO SAMOSTALNA TRGOVINSKA R
551121;BM&MB COMPANI DOO
551210;BMG DOO
551533;BOHOR
551122;BOJA S.T.Z.P.R. ALEKSANDAR SKOKOVIC
551197;BOMAX
551446;BOO DOO
551650;BRICOLAGE NOVI SAD
551385;CEZAR PLUS DOO
551350;CIKE 
551294;COLOR COMMERCE
551166;CORMEL
551390;DARNIK DOO
551499;DEOLUX
551386;DIZAJN CENTAR ZAJECAR
551247;DJULOVIC- RU COM
551132;DMA ELEKTRON, VALJEVO
551245;DOM LAZAREVAC
551461;FEA DIZAJN
551135;DONIC DOO
551157;EGLO MALOPRODAJA NIŠ
551236;EGLO MALOPRODAJA SABAC
551136;EGLO SMEDEREVAC
551272;EGLO SHOWROOM
551129;EGLO ZMAJ MALOPRODAJA IV
551137;EL AN MD UZICE
551238;EL-BI Trade
551169;ELDEJ
551128;ELECTRA 010 PIROT
551606;ELECTRO LIGHT
551183;ELECTRO LIGHT II D. Tucovica
551105;ELEKTRO 037
551355;ELEKTRO MIRKO
551201;ELEKTRO RASVETA  (RAJNINGER)              
551124;ELEKTRO RASVETA IP DOO (ex light electric malopr)
551139;ELEKTRO UNO RADNJA ZA PROMET ROBE N
551143;ELEKTROLUKS 012 SAMOSTALNA RADNJA POZAREVAC
551168;ELEKTROPLUS
551351;ELEKTROSTAR
551666;ELEKTROSTAR VRŠAC
551340;ELEKTROSTIL
550896;ELEKTROTEHNA DOO
551552;ELKOM
551405;ELKOM KUCEVO
551117;ELMAG LIGHT SAMOSTALNA TRGOVINSKO
551147;ELTON D.O.O.PREDUZECE ZA PROIZVODNJ
551490;EMMEZETA , ČAČAK
551221;EMMEZETA BG
551243;EMMEZETA NIŠ
551150;EURO LIGHT D.O.O. BEOGRAD  DRUSTVO
551662;MATIS DOO IVANJICA
551430;EXEL DOO
551253;EXTRA LIGHT
551463;FERO MEDIKA
551154;FINES SR
551621;RGB ZR (N. PASICA)
551644;FOUR M NOVI SAD
551447;FOUR M PROJEKTNI BIRO
551332;Free form
551198;GALI  NAMEŠTAJ SALON PIROT
551671;GLOBAL ELEKTRO
551151;GREEN DESIGN STUDIO
551152;HALOGEN II KISACKA
550897;HALOGEN RADNJA (550897)
551145;HELIOS TNT
551588;HOME CENTAR KRAGUJEVAC
551638;HOME CENTAR TC NOVI SAD
551222;HOME CENTAR-TC USCE
550895;HOME CENTER (550895)
551123;HOME CENTER JAGODINA
551127;HOME LIGHT DECOR
551153;HRAST D.O.O. TUP
551381;HROMA
551670;ILUMINA
551234;IN EXPORT INDJIJA
551635;INTERLUKS RASVETA
551131;INTERNET PRODAVNICA EGLO
551160;ISTER STR
551161;ITARA TRADE DOO
551641;ITI STR I KOMISION
551140;IZO TIM
551241;Janex
551615;JJ LIGHT
551106;LIGHT OFFICE LESKOVAC
551162;JOLUX LIGHT DOO
551233;K&D STZR
551189;KAPEDUNUM
551270;KATIC DOO
551330;KEEP LIGHT
551301;KLIMA MONT
551164;KOLVEL HELIOS D.O.O. BEOGRAD
551175;KONDOR AS D.O.O.
551240;KV HOUSE LIGHT
551231;KVADART
551505;LASER RS
551517;LAZAR GROUP DOO
551179;LED LIGHT D.O.O.
551191;LED MASTER VALJEVO
551235;LED RASVETA INŽENJERING/ENTERIJERI
551158;LEMON PLANET
551181;LIGHT ELECTRIC DOO PREDUZECE ZA TRG
551182;LIGHT ELECTRIC GROUP D.O.O. KRALJEVO
551553;LINEA MODERNA
551348;LIRA PLUS
551464;LOBY COM DOO
551223;LUMEN ART
551184;LUMEN D.O.O. ZA PROIZVODNJU TRGOVIN
551225;LUX ELEKTRIC DOO
551426;LVD INZENJERING
551186;M LUX SZTR
551187;MAGNOTRON PROMET
551643;MAKEL ELEKTRO
551174;MARIA PIA
551118;MATEX STR
551347;MD PROMET
550990;MEDIA MARKET
551062;EGLO NOVI PAZAR
551530;LUTZ DECO  (AE8) 
551126;LUTZ SHOP  (NS)
551133;LUTZ LAGER  (ACZ)
551491;MERCATOR-S, CENTAR TEHNIKE SMEDEREVO
551134;LUMEN LIGHT KRALJEVO
551142;MONERO
551144;MERCATOR-S, MEGAMARKET KRAGUJEVAC
551148;MERCATOR-S, NOVI SAD, megamarket
551149;W LIGHT
551275;EGLO KARABURMA
551587;MERON
551165;METAL-FLEX D.O.O.
551365;METALING PUT DOO
551173;MIC PROM DOO, PREDUZECE ZA TRGOVINU
551159;MICA STEEL
551176;MILOJEVIC PROMET DOO PREDUZECE ZA P
551277;MIND PLUS
551475;MIO GOR ADA
551202;MIO GOR BAC. PET. SELO
551232;MIO GOR BEČEJ
551302;MIROCO DOO
551300;MIS LED
551583;MIS LIGHT
551170;MV LIGHT
551551;N&N KOMERC
551120;NESAELEKTRO
551177;NEVEN KOMERC DOO
551607;NEXALLIGHT
551406;NIK ELEKTRO
551227;NIK ELEKTRO SMED. PALANKA
551205;NORTEC
551595;OPIT COMPANY
551130;ORNAMENT
551276;Panel STR
551178;PASAT VRSAC - DRUSTVO SA OGRANICENO
551180;PEGAZ ART D.O.O. - PROIZVODNO TRGOVINSK
551111;PROLUKS D.O.O. - PREDUZECE ZA PROME
551112;PROMONT KOMERC DOO.ZA PROMET ROBE,P
551590;PROMONT NOVI SAD
551061;RAB COMMERCE PREDUZECE (551061)
551252;RASVETA PLUS
551500;RGB
551113;NS RASVETA
551260;RODA INZENJERING DOO
551532;RODJA
551185;ROTEL
551114;SGS LIGHT S.Z.T.R.
551156;SIROTIN DOO
551534;SKUNDRIC
551141;SKY LIGHT
551246;SN INZENJERING
551171;SPAS
551195;SR MG MANDIC GORAN PREDUZETNIK
551196;STAIS 2 OTVORENI TRZNI CENTAR
551663;STANKOVIC
551460;STARLITE
551167;STIVEX DOO
551331;STUDIO CREATIVE ART
551163;SUDO PER
551362;SUMAJA DOO
551293;SUN LIGHTE 
551425;SVETIONIK LESKOVAC
551199;"SZTKR ""STOJIC"""
551200;SZTUR ARHITEKTON
551138;TAB ELEKTRO
551550;TEA LIGHT
551224;TEHNOMIK
551155;TEHNOUNION EXIM
551203;TESLA SZTR, ZORAN SAVESKI
551204;TESLA TUP D.O.O.
551206;TOM DOM STR
551261;TRGOVINA MATEJIC DOO
551125;TRITONEX
551636;TUNEL
551531;UNA ZORCIC
551188;VAM LUX
551239;Vat szr
551207;VECOM ELEKTRO STR
551208;VIDAKOVIC  EL. TR. RADNJA
551172;VIKO 2011
551545;VIN MILJEVIC
551190;VISTA TEAM DOO
551465;VIVA STAR MLADENOVAC
551209;VS ELEKTRO
551211;XL PROSTOR SAMOSTALNA ZANATSKA
551361;ZOKA DOO
